지점번호,지점,일시,기온,강수량
108,서울,2017-04-22 02,9.7,
108,서울,2017-04-22 03,9.4,
108,서울,2017-04-22 04,9.1,
108,서울,2017-04-22 05,8.7,
108,서울,2017-04-22 06,8.6,
108,서울,2017-04-22 07,8.9,
108,서울,2017-04-22 08,11.2,
108,서울,2017-04-22 09,13.8,
108,서울,2017-04-22 10,15.6,
108,서울,2017-04-22 11,17.6,
108,서울,2017-04-22 12,19.8,
108,서울,2017-04-22 13,20.4,
108,서울,2017-04-22 14,21.6,
108,서울,2017-04-22 15,22.3,
108,서울,2017-04-22 16,21.8,
108,서울,2017-04-22 17,20.3,
108,서울,2017-04-22 18,18.8,
108,서울,2017-04-22 19,16.4,
108,서울,2017-04-22 20,14.7,
108,서울,2017-04-22 21,14.1,
108,서울,2017-04-22 22,13.3,
108,서울,2017-04-22 23,12.2,
108,서울,2017-04-23 00,11.6,
108,서울,2017-04-23 01,11.2,
108,서울,2017-04-23 02,10.6,
108,서울,2017-04-23 03,10.2,
108,서울,2017-04-23 04,9.9,
108,서울,2017-04-23 05,9.5,
108,서울,2017-04-23 06,8.9,
108,서울,2017-04-23 07,9.3,
108,서울,2017-04-23 08,12.1,
108,서울,2017-04-23 09,14.2,
108,서울,2017-04-23 10,16.9,
108,서울,2017-04-23 11,18.9,
108,서울,2017-04-23 12,20.5,
108,서울,2017-04-23 13,20.8,
108,서울,2017-04-23 14,21.1,
108,서울,2017-04-23 15,21.1,
108,서울,2017-04-23 16,20.8,
108,서울,2017-04-23 17,19.8,
108,서울,2017-04-23 18,18.3,
108,서울,2017-04-23 19,16.5,
108,서울,2017-04-23 20,15.0,
108,서울,2017-04-23 21,14.0,
108,서울,2017-04-23 22,13.4,
108,서울,2017-04-23 23,12.5,
108,서울,2017-04-24 00,12.1,
108,서울,2017-04-24 01,11.0,
108,서울,2017-04-24 02,10.4,
108,서울,2017-04-24 03,10.1,
108,서울,2017-04-24 04,9.5,
108,서울,2017-04-24 05,8.9,
108,서울,2017-04-24 06,8.3,
108,서울,2017-04-24 07,8.7,
