LocNumber,Loc,Date,Temp,Prec
108,서울,2017-01-17 12,0.0,
108,서울,2017-01-17 13,2.2,
108,서울,2017-01-17 14,2.8,
108,서울,2017-01-17 15,2.7,
108,서울,2017-01-17 16,3.1,
108,서울,2017-01-17 17,2.2,
108,서울,2017-01-17 18,0.8,
108,서울,2017-01-17 19,-0.1,
108,서울,2017-01-17 20,-0.6,
108,서울,2017-01-17 21,-0.8,
108,서울,2017-01-17 22,-1.2,
108,서울,2017-01-17 23,-1.0,
108,서울,2017-01-18 00,-0.7,
108,서울,2017-01-18 01,-0.6,
108,서울,2017-01-18 02,-0.5,
108,서울,2017-01-18 03,-1.1,
108,서울,2017-01-18 04,-2.0,
108,서울,2017-01-18 05,-2.3,
108,서울,2017-01-18 06,-2.6,
108,서울,2017-01-18 07,-2.8,
108,서울,2017-01-18 08,-3.0,
108,서울,2017-01-18 09,-2.5,
108,서울,2017-01-18 10,-0.9,
108,서울,2017-01-18 11,0.8,
108,서울,2017-01-18 12,1.9,
108,서울,2017-01-18 13,1.5,
108,서울,2017-01-18 14,2.0,
108,서울,2017-01-18 15,2.5,0.0
108,서울,2017-01-18 16,2.5,
108,서울,2017-01-18 17,2.1,
108,서울,2017-01-18 18,1.0,
108,서울,2017-01-18 19,0.2,
108,서울,2017-01-18 20,-0.7,
108,서울,2017-01-18 21,-1.3,
108,서울,2017-01-18 22,-1.6,
108,서울,2017-01-18 23,-1.8,
108,서울,2017-01-19 00,-1.9,
108,서울,2017-01-19 01,-2.6,
108,서울,2017-01-19 02,-3.4,
108,서울,2017-01-19 03,-3.7,
108,서울,2017-01-19 04,-4.1,
108,서울,2017-01-19 05,-4.5,
108,서울,2017-01-19 06,-4.6,
108,서울,2017-01-19 07,-4.8,
108,서울,2017-01-19 08,-4.8,
108,서울,2017-01-19 09,-4.2,
108,서울,2017-01-19 10,-2.3,
108,서울,2017-01-19 11,-1.2,
108,서울,2017-01-19 12,1.2,
108,서울,2017-01-19 13,2.6,
