지점번호,지점,일시,기온,강수량
108,서울,2017-03-21 05,5.2,,
108,서울,2017-03-21 06,4.9,,
108,서울,2017-03-21 07,4.4,,
108,서울,2017-03-21 08,4.4,,
108,서울,2017-03-21 09,4.6,,
108,서울,2017-03-21 10,5.8,,
108,서울,2017-03-21 11,7.1,,
108,서울,2017-03-21 12,8.8,,
108,서울,2017-03-21 13,11.1,,
108,서울,2017-03-21 14,10.8,,
108,서울,2017-03-21 15,11.3,,
108,서울,2017-03-21 16,11.1,,
108,서울,2017-03-21 17,11.9,,
108,서울,2017-03-21 18,11.7,,
108,서울,2017-03-21 19,9.6,,
108,서울,2017-03-21 20,8.1,,
108,서울,2017-03-21 21,7.3,,
108,서울,2017-03-21 22,6.5,,
108,서울,2017-03-21 23,5.7,,
108,서울,2017-03-22 00,4.9,,
108,서울,2017-03-22 01,4.4,,
108,서울,2017-03-22 02,3.9,,
108,서울,2017-03-22 03,3.7,,
108,서울,2017-03-22 04,2.8,,
108,서울,2017-03-22 05,2.6,,
108,서울,2017-03-22 06,2.1,,
108,서울,2017-03-22 07,1.9,,
108,서울,2017-03-22 08,3.3,,
108,서울,2017-03-22 09,6.0,,
108,서울,2017-03-22 10,8.7,,
108,서울,2017-03-22 11,9.7,,
108,서울,2017-03-22 12,11.0,,
108,서울,2017-03-22 13,12.0,,
108,서울,2017-03-22 14,12.7,,
108,서울,2017-03-22 15,13.3,,
108,서울,2017-03-22 16,13.1,,
108,서울,2017-03-22 17,11.7,,
108,서울,2017-03-22 18,10.1,,
108,서울,2017-03-22 19,8.7,,
108,서울,2017-03-22 20,8.1,,
108,서울,2017-03-22 21,7.6,,
108,서울,2017-03-22 22,7.4,,
108,서울,2017-03-22 23,7.1,,
108,서울,2017-03-23 00,6.9,,
108,서울,2017-03-23 01,6.6,,
108,서울,2017-03-23 02,6.2,,
108,서울,2017-03-23 03,6.1,,
108,서울,2017-03-23 04,6.0,,
108,서울,2017-03-23 05,5.4,,
108,서울,2017-03-23 06,5.3,,
108,서울,2017-03-23 07,5.2,,
108,서울,2017-03-23 08,5.9,,
108,서울,2017-03-23 09,7.8,,
108,서울,2017-03-23 10,9.5,,
108,서울,2017-03-23 11,10.3,,
108,서울,2017-03-23 12,12.7,,
108,서울,2017-03-23 13,13.2,,
108,서울,2017-03-23 14,13.8,,
108,서울,2017-03-23 15,14.1,,
108,서울,2017-03-23 16,14.1,,
108,서울,2017-03-23 17,13.4,,
108,서울,2017-03-23 18,12.0,,
108,서울,2017-03-23 19,10.1,,
108,서울,2017-03-23 20,9.2,,
108,서울,2017-03-23 21,8.5,,
108,서울,2017-03-23 22,8.3,,
108,서울,2017-03-23 23,7.2,,
108,서울,2017-03-24 00,6.6,,
108,서울,2017-03-24 01,5.8,,
108,서울,2017-03-24 02,5.0,,
108,서울,2017-03-24 03,4.4,,
108,서울,2017-03-24 04,4.2,,
108,서울,2017-03-24 05,4.3,,
108,서울,2017-03-24 06,4.1,,
108,서울,2017-03-24 07,4.0,,
108,서울,2017-03-24 08,5.1,,
108,서울,2017-03-24 09,6.9,,
108,서울,2017-03-24 10,9.2,,
108,서울,2017-03-24 11,11.2,,
108,서울,2017-03-24 12,12.6,,
108,서울,2017-03-24 13,13.4,,
108,서울,2017-03-24 14,13.6,,
108,서울,2017-03-24 15,14.6,,
108,서울,2017-03-24 16,14.6,,
108,서울,2017-03-24 17,13.7,,
108,서울,2017-03-24 18,11.3,,
108,서울,2017-03-24 19,9.8,,
108,서울,2017-03-24 20,9.3,,
108,서울,2017-03-24 21,8.8,,
108,서울,2017-03-24 22,8.3,,
108,서울,2017-03-24 23,7.4,,
108,서울,2017-03-25 00,7.1,,
108,서울,2017-03-25 01,7.1,,
108,서울,2017-03-25 02,7.2,,
108,서울,2017-03-25 03,6.6,,
108,서울,2017-03-25 04,6.3,,
108,서울,2017-03-25 05,6.7,,
108,서울,2017-03-25 06,6.5,,
108,서울,2017-03-25 07,6.1,,
108,서울,2017-03-25 08,6.8,,
108,서울,2017-03-25 09,7.7,,
108,서울,2017-03-25 10,8.9,,
