LocNumber,Loc,Date,Temp,Prec
108,서울,2017-05-19 20,20.8,,
108,서울,2017-05-19 21,19.6,,
108,서울,2017-05-19 22,18.8,,
108,서울,2017-05-19 23,18.3,,
108,서울,2017-05-20 00,17.7,,
108,서울,2017-05-20 01,17.1,,
108,서울,2017-05-20 02,16.5,,
108,서울,2017-05-20 03,16.1,,
108,서울,2017-05-20 04,15.7,,
108,서울,2017-05-20 05,15.6,,
108,서울,2017-05-20 06,15.5,,
108,서울,2017-05-20 07,16.1,,
108,서울,2017-05-20 08,18.8,,
108,서울,2017-05-20 09,21.6,,
108,서울,2017-05-20 10,23.5,,
108,서울,2017-05-20 11,24.5,,
108,서울,2017-05-20 12,25.5,,
108,서울,2017-05-20 13,26.8,,
108,서울,2017-05-20 14,26.8,,
108,서울,2017-05-20 15,26.2,,
108,서울,2017-05-20 16,25.1,,
108,서울,2017-05-20 17,25.3,,
108,서울,2017-05-20 18,24.3,,
108,서울,2017-05-20 19,22.7,,
108,서울,2017-05-20 20,21.0,,
108,서울,2017-05-20 21,19.9,,
108,서울,2017-05-20 22,19.1,,
108,서울,2017-05-20 23,18.4,,
108,서울,2017-05-21 00,18.0,,
108,서울,2017-05-21 01,17.8,,
108,서울,2017-05-21 02,17.4,,
108,서울,2017-05-21 03,16.8,,
108,서울,2017-05-21 04,16.5,,
108,서울,2017-05-21 05,16.2,,
108,서울,2017-05-21 06,16.1,,
108,서울,2017-05-21 07,16.5,,
108,서울,2017-05-21 08,18.3,,
108,서울,2017-05-21 09,20.8,,
108,서울,2017-05-21 10,22.7,,
108,서울,2017-05-21 11,24.7,,
108,서울,2017-05-21 12,25.6,,
108,서울,2017-05-21 13,26.4,,
108,서울,2017-05-21 14,26.8,,
108,서울,2017-05-21 15,27.5,,
108,서울,2017-05-21 16,27.4,,
108,서울,2017-05-21 17,27.1,,
108,서울,2017-05-21 18,25.9,,
108,서울,2017-05-21 19,23.1,,
108,서울,2017-05-21 20,21.1,,
108,서울,2017-05-21 21,20.2,,
108,서울,2017-05-21 22,19.5,,
108,서울,2017-05-21 23,19.2,,
108,서울,2017-05-22 00,18.7,,
108,서울,2017-05-22 01,18.0,,
108,서울,2017-05-22 02,17.3,,
108,서울,2017-05-22 03,16.9,,
108,서울,2017-05-22 04,16.4,,
108,서울,2017-05-22 05,16.1,,
108,서울,2017-05-22 06,16.0,,
108,서울,2017-05-22 07,17.0,,
108,서울,2017-05-22 08,19.5,,
108,서울,2017-05-22 09,22.3,,
108,서울,2017-05-22 10,24.0,,
108,서울,2017-05-22 11,25.7,,
108,서울,2017-05-22 12,26.3,,
108,서울,2017-05-22 13,27.2,,
108,서울,2017-05-22 14,27.0,,
108,서울,2017-05-22 15,27.7,,
108,서울,2017-05-22 16,28.0,,
108,서울,2017-05-22 17,27.7,,
108,서울,2017-05-22 18,26.5,,
108,서울,2017-05-22 19,23.2,,
108,서울,2017-05-22 20,21.2,,
108,서울,2017-05-22 21,20.2,,
108,서울,2017-05-22 22,19.6,,
108,서울,2017-05-22 23,19.1,,
108,서울,2017-05-23 00,18.7,,
108,서울,2017-05-23 01,18.3,,
108,서울,2017-05-23 02,18.1,,
108,서울,2017-05-23 03,18.0,,
108,서울,2017-05-23 04,17.4,,
108,서울,2017-05-23 05,17.4,,
108,서울,2017-05-23 06,17.7,,
108,서울,2017-05-23 07,18.2,,
108,서울,2017-05-23 08,19.8,,
108,서울,2017-05-23 09,21.0,,
108,서울,2017-05-23 10,22.8,,
108,서울,2017-05-23 11,23.5,,
108,서울,2017-05-23 12,24.0,,
108,서울,2017-05-23 13,24.0,,
108,서울,2017-05-23 14,23.3,,
108,서울,2017-05-23 15,23.6,,
108,서울,2017-05-23 16,22.8,,
108,서울,2017-05-23 17,21.7,,
108,서울,2017-05-23 18,20.0,0.0,
108,서울,2017-05-23 19,18.5,1.5,
108,서울,2017-05-23 20,17.9,2.5,
108,서울,2017-05-23 21,17.9,0.5,
108,서울,2017-05-23 22,17.7,,
108,서울,2017-05-23 23,17.9,,
108,서울,2017-05-24 00,17.8,0.5,
108,서울,2017-05-24 01,17.9,0.1,
108,서울,2017-05-24 02,17.8,,
108,서울,2017-05-24 03,17.8,,
108,서울,2017-05-24 04,17.4,0.0,
108,서울,2017-05-24 05,17.3,,
108,서울,2017-05-24 06,17.0,,
108,서울,2017-05-24 07,17.4,,
108,서울,2017-05-24 08,19.3,,
108,서울,2017-05-24 09,21.5,,
108,서울,2017-05-24 10,23.3,,
108,서울,2017-05-24 11,23.5,,
108,서울,2017-05-24 12,24.7,,
108,서울,2017-05-24 13,25.0,,
108,서울,2017-05-24 14,26.3,,
108,서울,2017-05-24 15,26.9,,
108,서울,2017-05-24 16,27.6,,
108,서울,2017-05-24 17,27.5,,
108,서울,2017-05-24 18,27.0,,
108,서울,2017-05-24 19,25.0,,
108,서울,2017-05-24 20,22.1,,
108,서울,2017-05-24 21,20.8,,
108,서울,2017-05-24 22,19.8,,
108,서울,2017-05-24 23,19.5,,
108,서울,2017-05-25 00,18.8,,
108,서울,2017-05-25 01,18.2,,
108,서울,2017-05-25 02,17.6,,
108,서울,2017-05-25 03,17.0,,
108,서울,2017-05-25 04,16.6,,
108,서울,2017-05-25 05,16.1,,
108,서울,2017-05-25 06,15.8,,
108,서울,2017-05-25 07,16.6,,
108,서울,2017-05-25 08,18.5,,
108,서울,2017-05-25 09,20.7,,
108,서울,2017-05-25 10,22.7,,
108,서울,2017-05-25 11,21.8,,
108,서울,2017-05-25 12,22.3,,
108,서울,2017-05-25 13,23.2,,
108,서울,2017-05-25 14,24.2,,
108,서울,2017-05-25 15,23.9,,
108,서울,2017-05-25 16,23.5,,
108,서울,2017-05-25 17,22.9,,
108,서울,2017-05-25 18,22.2,,
108,서울,2017-05-25 19,20.7,,
108,서울,2017-05-25 20,18.8,,
108,서울,2017-05-25 21,17.6,,
108,서울,2017-05-25 22,16.5,,
108,서울,2017-05-25 23,15.4,,
108,서울,2017-05-26 00,14.4,,
108,서울,2017-05-26 01,14.1,,
108,서울,2017-05-26 02,13.3,,
108,서울,2017-05-26 03,12.9,,
108,서울,2017-05-26 04,12.5,,
108,서울,2017-05-26 05,12.7,,
108,서울,2017-05-26 06,12.9,,
108,서울,2017-05-26 07,13.7,,
108,서울,2017-05-26 08,14.6,,
108,서울,2017-05-26 09,16.2,,
108,서울,2017-05-26 10,18.3,,
108,서울,2017-05-26 11,19.5,,
108,서울,2017-05-26 12,20.2,,
108,서울,2017-05-26 13,21.6,,
108,서울,2017-05-26 14,22.2,,
108,서울,2017-05-26 15,23.0,,
108,서울,2017-05-26 16,21.7,,
108,서울,2017-05-26 17,23.1,,
108,서울,2017-05-26 18,21.6,,
108,서울,2017-05-26 19,20.7,,
108,서울,2017-05-26 20,19.4,,
108,서울,2017-05-26 21,18.5,,
108,서울,2017-05-26 22,17.8,,
108,서울,2017-05-26 23,16.8,,
108,서울,2017-05-27 00,16.1,,
108,서울,2017-05-27 01,15.6,,
108,서울,2017-05-27 02,15.1,,
108,서울,2017-05-27 03,14.7,,
108,서울,2017-05-27 04,14.3,,
108,서울,2017-05-27 05,13.9,,
108,서울,2017-05-27 06,13.7,,
108,서울,2017-05-27 07,14.7,,
108,서울,2017-05-27 08,17.0,,
108,서울,2017-05-27 09,19.1,,
108,서울,2017-05-27 10,21.2,,
108,서울,2017-05-27 11,22.8,,
108,서울,2017-05-27 12,23.6,,
108,서울,2017-05-27 13,24.4,,
108,서울,2017-05-27 14,25.8,,
108,서울,2017-05-27 15,26.1,,
108,서울,2017-05-27 16,25.8,,
108,서울,2017-05-27 17,24.6,,
108,서울,2017-05-27 18,23.7,,
108,서울,2017-05-27 19,22.4,,
108,서울,2017-05-27 20,19.9,,
108,서울,2017-05-27 21,18.8,,
108,서울,2017-05-27 22,18.0,,
108,서울,2017-05-27 23,17.2,,
108,서울,2017-05-28 00,16.6,,
108,서울,2017-05-28 01,15.8,,
108,서울,2017-05-28 02,15.2,,
108,서울,2017-05-28 03,14.9,,
108,서울,2017-05-28 04,14.7,,
108,서울,2017-05-28 05,14.4,,
108,서울,2017-05-28 06,14.7,,
108,서울,2017-05-28 07,16.3,,
108,서울,2017-05-28 08,18.0,,
108,서울,2017-05-28 09,20.9,,
108,서울,2017-05-28 10,22.9,,
108,서울,2017-05-28 11,25.0,,
108,서울,2017-05-28 12,26.1,,
108,서울,2017-05-28 13,26.6,,
108,서울,2017-05-28 14,26.7,,
108,서울,2017-05-28 15,27.5,,
108,서울,2017-05-28 16,27.2,,
108,서울,2017-05-28 17,26.4,,
108,서울,2017-05-28 18,25.1,,
108,서울,2017-05-28 19,23.6,,
108,서울,2017-05-28 20,22.0,,
108,서울,2017-05-28 21,20.9,,
108,서울,2017-05-28 22,20.4,,
108,서울,2017-05-28 23,19.7,,
108,서울,2017-05-29 00,19.3,,
108,서울,2017-05-29 01,19.0,,
108,서울,2017-05-29 02,18.6,,
108,서울,2017-05-29 03,18.5,,
108,서울,2017-05-29 04,18.2,,
108,서울,2017-05-29 05,18.2,,
108,서울,2017-05-29 06,18.5,,
108,서울,2017-05-29 07,19.0,,
108,서울,2017-05-29 08,19.9,,
108,서울,2017-05-29 09,21.1,,
108,서울,2017-05-29 10,23.4,,
108,서울,2017-05-29 11,25.0,,
108,서울,2017-05-29 12,27.1,,
108,서울,2017-05-29 13,28.4,,
108,서울,2017-05-29 14,28.4,,
108,서울,2017-05-29 15,29.0,,
108,서울,2017-05-29 16,28.8,,
108,서울,2017-05-29 17,27.5,,
108,서울,2017-05-29 18,27.2,,
